,,,DISTRICTWISE RAINFALL DISTRIBUTION,,,,,,,
S.No.,MET.,SUBDIVISION/ UT,DAY :,22.02.2026,TO,22.02.2026,PERIOD :,01.01.2026,TO,22.02.2026
,STATE/DISTRICT (NAME),,ACTUAL,NORMAL,% DEP.,CAT.,ACTUAL,NORMAL,% DEP.,CAT.
,,,(mm),(mm),,,(mm),(mm),,
21,JAUNPUR,,0,0.1,-100%,NR,0,18.9,-100%,NR
22,KANNAUJ,,0,0.1,-100%,NR,19.6,27.9,-30%,D
23,KANPUR CITY,,0,0,-100%,NR,10.4,24.1,-57%,D
24,KANPUR DEHAT,,0,0,-100%,NR,5.9,16.1,-63%,LD
25,KAUSHAMBI,,0,0,-100%,NR,2,16.5,-88%,LD
26,KHERI,,0,0.5,-100%,NR,15.5,33.7,-54%,D
27,KUSHI NAGAR,,0,0.1,-100%,NR,0,13.6,-100%,NR
28,LUCKNOW,,0,0.1,-100%,NR,13.1,24.3,-46%,D
29,MAHARAJGANJ,,0,0.2,-100%,NR,0,24.5,-100%,NR
30,MAU,,0,0,-100%,NR,0,12,-100%,NR
31,MIRZAPUR,,0,0.2,-100%,NR,0,32.4,-100%,NR
32,PRATAPGARH,,0,0,-100%,NR,1,23.7,-96%,LD
33,PRAYAGRAJ,,0,0,-100%,NR,0.4,23.9,-98%,LD
34,RAE BAREILLY,,0,0.1,-100%,NR,1,8.4,-88%,LD
35,SANT KABIR NAGAR,,0,0.1,-100%,NR,0,21.1,-100%,NR
36,SHRAWASTI NAGAR,,0,0.2,-100%,NR,5.1,34,-85%,LD
37,SIDDHARTH NAGAR,,0,0.1,-100%,NR,5.2,19.4,-73%,LD
38,SITAPUR,,0,0,-100%,NR,7.8,26.4,-70%,LD
39,SONBHADRA,,0,0.5,-100%,NR,0,28.4,-100%,NR
,,,DISTRICTWISE RAINFALL DISTRIBUTION,,,,,,,
S.No.,MET.,SUBDIVISION/ UT,DAY :,22.02.2026,TO,22.02.2026,PERIOD :,01.01.2026,TO,22.02.2026
,STATE/DISTRICT (NAME),,ACTUAL,NORMAL,% DEP.,CAT.,ACTUAL,NORMAL,% DEP.,CAT.
,,,(mm),(mm),,,(mm),(mm),,
